Date,Close/Last,Volume,Open,High,Low
10/12/2021,61.69,87201740,63.085,63.31,61.305
10/11/2021,62.325,68107660,62.93,64.845,62.2675
10/08/2021,63.74,78566080,65.335,65.461,63.485
10/07/2021,64.735,75407560,64.6625,66.17,64.365
10/06/2021,63.03,117495380,60.13,63.16,59.63
10/05/2021,61.81,81306420,59.985,63.00,59.8605
10/04/2021,59.52,128617940,62.55,62.7435,58.235
10/01/2021,63.42,104353980,62.625,64.0049,60.42
09/30/2021,62.285,117312020,63.89,64.77,62.04
09/29/2021,62.995,97530600,63.98,65.145,62.65
09/28/2021,63.415,148822900,66.57,66.945,63.035
09/27/2021,69.185,78355460,69.105,69.70,67.70
09/24/2021,70.895,54775200,69.36,71.125,69.15
09/23/2021,70.695,69369580,69.455,71.285,69.085
09/22/2021,68.785,87669420,67.43,69.615,66.805
09/21/2021,66.83,71700640,67.69,68.375,66.295
09/20/2021,66.745,121913640,67.71,68.73,64.00
09/17/2021,71.12,77325180,73.45,73.465,70.48
09/16/2021,73.725,52615420,72.775,74.0649,71.62
09/15/2021,73.58,55892620,72.245,73.78,70.8825
09/14/2021,71.985,59629160,73.475,73.93,71.41
09/13/2021,72.61,77774680,74.145,74.39,71.38
09/10/2021,72.775,69217740,75.50,75.925,72.555
09/09/2021,74.45,55286760,75.365,76.05,74.295
09/08/2021,75.255,63423020,75.905,75.925,73.855
09/07/2021,76.035,45185340,75.775,76.44,75.08
09/03/2021,75.725,46647400,74.35,75.97,74.33
09/02/2021,75.05,47649420,75.975,76.17,74.30
09/01/2021,75.155,47783960,75.415,76.41,75.035
08/31/2021,74.745,45897940,75.11,75.15,73.845
08/30/2021,74.955,45635200,73.00,75.26,72.975
08/27/2021,72.55,46159920,70.845,72.80,70.57
08/26/2021,70.49,53502480,71.335,71.755,70.22
08/25/2021,71.705,38063520,71.745,72.20,71.315
08/24/2021,71.625,36343480,71.305,71.97,71.035
08/23/2021,70.925,48266120,68.515,71.35,68.50
08/20/2021,67.90,62541140,66.475,68.135,66.29
08/19/2021,65.865,81623820,63.87,66.80,63.725
08/18/2021,64.94,65042360,66.55,67.36,64.755
08/17/2021,66.885,83197580,67.105,67.675,65.485
08/16/2021,68.69,61320780,67.97,68.715,65.7476
08/13/2021,68.57,36644700,68.09,68.805,67.815
08/12/2021,67.89,39810100,66.905,68.10,66.12
08/11/2021,67.19,46593960,68.25,68.525,66.42
08/10/2021,67.555,53081220,68.885,69.055,66.8575
08/09/2021,68.58,34210900,68.455,68.89,67.84
08/06/2021,68.215,43152980,68.395,68.965,67.5775
08/05/2021,69.115,38670260,68.28,69.24,67.90
08/04/2021,67.84,48428480,67.545,68.38,66.90
08/03/2021,67.505,63417820,66.72,67.60,64.925
08/02/2021,66.35,54559900,67.27,67.595,66.01
07/30/2021,66.37,56559380,65.175,66.675,65.135
07/29/2021,67.38,44319240,66.74,68.06,66.7325
07/28/2021,67.05,71970140,66.93,67.93,65.635
07/27/2021,66.325,89391060,68.415,68.415,63.915
07/26/2021,68.565,42988820,68.01,68.785,67.52
07/23/2021,68.28,51949220,66.85,68.555,66.1475
07/22/2021,66.085,47478700,64.925,66.10,64.9176
07/21/2021,64.725,40881680,63.155,64.795,63.00
07/20/2021,63.28,60772340,61.72,64.15,60.775
07/19/2021,61.26,101143200,60.905,61.50,59.835
07/16/2021,62.765,63701440,64.8275,65.355,62.585
07/15/2021,64.345,68596480,65.705,65.79,63.23
07/14/2021,65.705,68021340,66.68,67.04,65.275
07/13/2021,65.35,59725000,65.19,67.0337,64.905
07/12/2021,65.385,43563100,65.40,65.6445,64.5292
07/09/2021,64.575,46437760,63.14,64.90,62.815
07/08/2021,63.50,76262140,61.8425,63.93,61.12
07/07/2021,64.62,57637740,65.45,65.61,63.55
07/06/2021,64.21,54799780,63.725,64.38,62.25
07/02/2021,63.36,46751000,62.32,63.575,62.19
07/01/2021,61.28,41917480,61.04,61.5699,60.325
06/30/2021,61.25,40273300,61.445,61.65,60.925
06/29/2021,61.52,37279940,60.78,61.538,60.335
06/28/2021,60.835,44393860,59.385,60.94,59.37
06/25/2021,58.755,43496560,59.245,59.375,58.425
06/24/2021,58.94,46836240,58.87,59.745,58.595
06/23/2021,57.875,46998460,57.785,58.48,57.4625
06/22/2021,57.775,51789360,56.155,58.025,55.985
06/21/2021,56.205,53854280,55.315,56.40,54.195
06/18/2021,55.195,71447260,55.705,56.289,54.84
06/17/2021,56.545,72161780,53.98,57.04,53.965
06/16/2021,54.51,78889000,55.31,55.8351,52.76
06/15/2021,55.10,45054080,56.01,56.17,54.73
06/14/2021,56.14,45411580,54.82,56.185,54.25
06/11/2021,54.61,34169360,54.21,54.62,53.88
06/10/2021,54.18,58603440,52.715,54.25,52.50
06/09/2021,52.57,38901820,53.18,53.56,52.465
06/08/2021,52.51,46472240,53.29,53.71,51.7125
06/07/2021,52.45,31096540,51.715,52.4825,51.407
06/04/2021,51.99,45587600,50.315,52.1949,50.265
06/03/2021,49.455,60516060,49.745,50.335,48.6875
06/02/2021,51.06,41589320,50.975,51.485,50.265
06/01/2021,50.795,51931760,51.925,52.15,50.1425
05/28/2021,51.295,40928560,51.39,52.0475,51.15
05/27/2021,50.80,41608420,51.185,51.58,50.72
05/26/2021,51.40,39017460,51.18,51.6193,50.86
05/25/2021,50.885,53364420,51.374,51.72,50.315
05/24/2021,50.64,46090840,49.275,51.17,49.11
05/21/2021,48.225,64066640,49.77,49.966,48.055
05/20/2021,49.035,69613220,47.035,49.43,46.915
05/19/2021,46.355,95944860,43.825,46.495,43.665
05/18/2021,46.185,65841980,47.605,48.14,46.095
05/17/2021,47.175,69012120,47.255,47.5799,45.865
05/14/2021,47.985,72131680,46.44,48.445,46.21
05/13/2021,45.055,104301020,45.30,46.3351,44.0352
05/12/2021,44.125,118079020,45.51,46.575,43.66
05/11/2021,47.76,114403440,45.295,48.12,45.00
05/10/2021,48.00,92107480,51.245,51.33,47.88
05/07/2021,51.90,79353380,51.985,53.0375,51.3855
05/06/2021,50.66,84831640,49.435,50.74,48.395
05/05/2021,49.575,68214580,51.02,51.425,49.20
05/04/2021,50.16,105616920,51.725,51.845,48.225
05/03/2021,52.95,67111060,54.38,54.745,52.715
04/30/2021,53.83,59220180,53.645,54.90,53.345
04/29/2021,54.86,74062200,55.93,56.115,53.29
04/28/2021,54.315,59475000,54.695,55.20,53.9851
04/27/2021,54.88,59656300,55.735,55.835,54.385
04/26/2021,55.61,49988320,54.655,55.735,54.275
04/23/2021,54.53,53941860,52.86,55.16,52.86
04/22/2021,52.55,87424120,54.335,54.815,51.97
04/21/2021,54.535,55528580,52.50,54.615,52.01
04/20/2021,53.19,79141880,54.025,54.66,52.195
04/19/2021,54.38,79584100,55.075,55.685,53.375
